lat,long,ind
42.4355,  -83.1843, 20999
42.4265,  -83.0921, 20999
42.4333,  -83.0435, 18000
42.362,  -83.1222, 18000
42.3075,  -83.1011, 18000
42.3492,  -83.2313, 18000
42.4444,  -83.1921, 18000
42.3548,  -83.122, 18000
42.4167,  -82.9585, 18000
42.388,  -83.1839, 18000
42.4356,  -83.1843, 16998
42.4243,  -83.1551, 16998
42.4124,  -82.9637, 16998
42.4084,  -83.1257, 16998
42.4348,  -83.2133, 16998
42.4263,  -83.0923, 16998
42.3727,  -83.1973, 16998
42.4242,  -83.1543, 16998
42.4095,  -82.9649, 16998
42.3415,  -83.2357, 16998
42.3959,  -83.2389, 16998
42.3832,  -83.0759, 16998
42.4296,  -83.0885, 16998
42.3397,  -83.1114, 16998
42.3523,  -83.24, 7999
42.3934,  -83.162, 7999
42.3719,  -82.9438, 7999
42.4129,  -83.1798, 7999
42.4142,  -83.1298, 7999
42.3744,  -83.1015, 7999
42.4371,  -83.0737, 7999
42.4105,  -83.1758, 7999
42.426,  -83.1519, 7999
42.4169,  -82.9947, 7999
42.3748,  -83.0033, 7999
42.374,  -83.1183, 7999
42.3516,  -83.1448, 7999
42.4222,  -83.0725, 7999
42.4179,  -82.9231, 7999
42.4376,  -83.2137, 7999
42.4264,  -83.2464, 7999
42.4414,  -83.0813, 7999
42.3114,  -83.1134, 7998
42.3402,  -83.2011, 7998
42.3729,  -83.0795, 7998
42.4309,  -83.1739, 18000
42.31,  -83.098, 18000
42.4311,  -83.1705, 18000
42.4177,  -83.1049, 18000
42.3706,  -83.1585, 18000
42.3784,  -83.0781, 18000
42.4172,  -83.1523, 18000
42.3955,  -83.1606, 18000
42.403,  -83.2053, 18000
42.4185,  -83.1133, 18000
42.3146,  -83.1022, 18000
42.4079,  -83.1819, 18000
42.3115,  -83.1086, 18000
42.4176,  -83.1133, 18000
42.4503,  -82.9493, 18000
42.3726,  -83.1613, 16998
42.3856,  -83.2216, 16998
42.4326,  -83.149, 16998
42.4378,  -82.9871, 16998
42.4421,  -83.2605, 16998
42.3489,  -82.9989, 16998
42.3832,  -83.0761, 16998
42.3672,  -83.0169, 16998
42.3543,  -83.2311, 16998
42.3518,  -83.0543, 16998
42.4481,  -83.0245, 16998
42.3597,  -83.0956, 16998
42.3918,  -83.2292, 16998
42.3542,  -82.9972, 16998
42.409,  -83.1528, 16998
42.3977,  -83.1843, 16998
42.4159,  -83.2085, 16998
42.4431,  -83.2203, 16998
42.4258,  -82.9358, 16998
42.3147,  -83.109, 16998
42.3554,  -83.121, 16998
42.4398,  -83.21, 16998
42.3405,  -83.2256, 16998
42.3942,  -82.9993, 16998
42.4312,  -83.1782, 16998
42.3541,  -83.0535, 16998
42.3592,  -83.1063, 16998
42.3773,  -83.0833, 16998
42.3323,  -83.0472, 7999
42.439,  -83.2733, 7999
42.3941,  -83.0264, 7999
42.4011,  -83.1348, 7999
42.4296,  -83.1747, 7999
42.4326,  -82.9548, 7999
42.4365,  -83.026, 7999
42.3911,  -82.9706, 7999
42.3561,  -83.1648, 7999
42.381,  -83.1064, 7999
42.4155,  -83.1625, 7999
42.3788,  -83.16, 7999
42.375,  -82.9777, 7999
42.4338,  -83.0695, 7999
42.4361,  -82.9597, 7999
42.4202,  -83.2536, 7999
42.323,  -83.0868, 7999
42.3745,  -83.0986, 7999
42.4268,  -83.0905, 7999
42.3971,  -83.1268, 7999
42.4333,  -83.2792, 7999
42.3664,  -83.1583, 7999
42.4325,  -83.1154, 7999
42.4488,  -82.9768, 7999
42.3628,  -83.1166, 7999
42.3627,  -83.1163, 7999
42.4333,  -83.276, 7999
42.3942,  -83.1092, 20999
42.4238,  -82.9898, 20999
42.4431,  -83.2541, 18000
42.4148,  -82.9581, 18000
42.3543,  -83.1518, 18000
42.4178,  -83.1092, 18000
42.434,  -83.0203, 18000
42.4085,  -83.1994, 18000
42.4102,  -83.2235, 18000
42.4059,  -83.1629, 18000
42.3135,  -83.1082, 18000
42.4096,  -83.2802, 16998
42.4382,  -83.1885, 16998
42.2741,  -83.1498, 16998
42.4237,  -82.9898, 16998
42.3868,  -83.1396, 16998
42.4188,  -83.1136, 16998
42.446,  -83.0469, 16998
42.4148,  -82.958, 16998
42.3016,  -83.1271, 16998
42.4458,  -82.9891, 16998
42.3407,  -83.0244, 16998
42.378,  -83.0192, 16998
42.4456,  -83.1413, 16998
42.4333,  -83.1481, 16998
42.3012,  -83.1109, 7999
42.4395,  -83.0289, 7999
42.3703,  -83.245, 7999
42.3879,  -82.9726, 7999
42.4255,  -83.0951, 7999
42.3574,  -83.185, 7999
42.4435,  -83.1906, 7999
42.4099,  -82.9712, 7999
42.3315,  -83.0435, 7999
42.3624,  -83.1632, 7999
42.41,  -82.9712, 7999
42.4214,  -82.9546, 7999
42.3964,  -83.175, 7999
42.4107,  -83.1549, 7999
42.3906,  -83.2624, 7999
42.4072,  -82.9912, 7999
42.4304,  -83.2734, 7999
42.3845,  -83.1095, 7999
42.3458,  -83.2077, 7999
42.3698,  -83.1106, 7999
42.3011,  -83.1109, 7998
42.397,  -83.1874, 7998
42.3747,  -83.1555, 7998
42.3614,  -83.0685, 7998
42.4251,  -83.2323, 7998
42.4463,  -83.0524, 18000
42.3361,  -83.0503, 18000
42.3579,  -83.1968, 18000
42.3436,  -83.2024, 18000
42.3663,  -83.1582, 18000
42.3586,  -83.1678, 18000
42.3586,  -83.1676, 18000
42.4097,  -83.1592, 18000
42.4402,  -82.9794, 18000
42.4398,  -83.0878, 18000
42.358,  -83.2009, 18000
42.3681,  -83.1376, 18000
42.4318,  -83.1581, 18000
42.3581,  -83.2439, 18000
42.3754,  -83.017, 18000
42.3985,  -83.2215, 18000
42.4297,  -83.2326, 18000
42.3519,  -83.0608, 18000
42.4298,  -82.9539, 18000
42.3685,  -83.1044, 18000
42.3208,  -83.104, 18000
42.3794,  -83.1609, 16998
42.3946,  -82.9567, 16998
42.4056,  -83.1599, 16998
42.3872,  -83.198, 16998
42.4398,  -83.1586, 16998
42.4329,  -83.0126, 16998
42.4206,  -82.9745, 16998
42.4078,  -82.9687, 16998
42.3975,  -82.9543, 16998
42.4044,  -82.9647, 16998
42.3281,  -83.0586, 16998
42.3709,  -83.1581, 16998
42.4079,  -83.1501, 16998
42.4294,  -83.2794, 16998
42.4245,  -83.1019, 16998
42.4139,  -82.958, 16998
42.3327,  -83.1172, 16998
42.3442,  -83.2307, 16998
42.364,  -83.0902, 16998
42.4019,  -83.1898, 16998
42.4088,  -83.2065, 16998
42.4086,  -83.2063, 16998
42.3771,  -83.0828, 16998
42.3771,  -83.0829, 16998
42.4443,  -83.0496, 16998
42.4013,  -82.9774, 16998
42.4137,  -82.9579, 16998
42.393,  -83.2511, 16998
42.3946,  -82.9564, 7999
42.3928,  -83.1365, 7999
42.4401,  -83.0209, 7999
42.3795,  -82.983, 7999
42.3023,  -83.1208, 7999
42.3484,  -83.0543, 7999
42.4256,  -82.9332, 7999
42.4374,  -83.0695, 7999
42.4166,  -83.2178, 7999
42.3943,  -83.2538, 7999
42.3787,  -83.1057, 7999
42.3518,  -83.2058, 7999
42.3716,  -83.2291, 7999
42.4458,  -83.1516, 7999
42.3971,  -83.209, 7999
42.4055,  -83.185, 7999
42.313,  -83.1412, 7998
42.4062,  -83.0693, 7998
42.4081,  -83.2509, 7998
42.4127,  -83.2081, 20999
42.4112,  -82.9687, 18000
42.3566,  -83.0654, 18000
42.3932,  -83.0198, 18000
42.3158,  -83.1068, 18000
42.3734,  -83.1145, 18000
42.3859,  -82.9874, 18000
42.3894,  -83.0862, 18000
42.4445,  -83.0242, 18000
42.4089,  -83.1955, 18000
42.4181,  -82.9301, 18000
42.3616,  -83.0216, 18000
42.345,  -83.0853, 18000
42.43,  -83.2775, 18000
42.2696,  -83.1535, 18000
42.3831,  -83.1264, 18000
42.4132,  -82.989, 16998
42.3571,  -83.1463, 16998
42.4133,  -83.2111, 16998
42.3916,  -83.1316, 16998
42.4305,  -82.9744, 16998
42.3312,  -83.067, 16998
42.3777,  -82.9497, 16998
42.3446,  -83.2181, 16998
42.4198,  -83.1729, 16998
42.4381,  -83.2143, 16998
42.4332,  -83.1586, 16998
42.3745,  -82.943, 16998
42.4227,  -82.9328, 16998
42.4144,  -83.2836, 16998
42.2983,  -83.1298, 16998
42.4195,  -83.0042, 16998
42.4268,  -82.9586, 16998
42.4303,  -83.2818, 16998
42.4244,  -83.1905, 16998
42.4359,  -83.2374, 16998
42.3768,  -83.1698, 16998
42.3732,  -83.2026, 16998
42.4058,  -82.9753, 16998
42.3404,  -83.0317, 16998
42.4224,  -83.2296, 16998
42.4427,  -83.049, 16998
42.422,  -83.2516, 7999
42.422,  -83.2514, 7999
42.4288,  -83.2738, 7999
42.3471,  -83.2004, 7999
42.4083,  -82.9463, 7999
42.4009,  -83.2444, 7999
42.3598,  -82.9998, 7999
42.3698,  -83.1375, 7999
42.397,  -83.1569, 7999
42.4034,  -83.168, 7999
42.3962,  -83.2259, 7999
42.3529,  -83.1681, 7999
42.4149,  -83.2035, 7999
42.4102,  -83.1624, 7999
42.4102,  -83.1625, 7999
42.3471,  -83.1201, 7999
42.429,  -83.1956, 7999
42.4056,  -82.9356, 7999
42.3751,  -83.1567, 7999
42.4236,  -82.9627, 7999
42.4312,  -82.9712, 7999
42.4075,  -83.2784, 7999
42.4329,  -83.055, 7999
42.3472,  -83.062, 7999
42.3339,  -83.2229, 7999
42.3277,  -83.1253, 7999
42.3171,  -83.0788, 7999
42.4227,  -83.2298, 7999
42.4181,  -82.9509, 7999
42.383,  -83.0759, 7999
42.3638,  -83.1194, 7999
42.3792,  -83.1611, 7998
42.3614,  -83.1169, 20999
42.3721,  -83.2326, 18000
42.3227,  -83.0891, 18000
42.3941,  -83.0043, 18000
42.3723,  -83.2355, 18000
42.4026,  -83.223, 18000
42.4349,  -82.9657, 18000
42.4348,  -82.9925, 18000
42.3525,  -83.1684, 18000
42.4105,  -82.9861, 16998
42.3838,  -83.2202, 16998
42.3557,  -83.1394, 16998
42.3559,  -83.1394, 16998
42.3868,  -83.1029, 16998
42.3581,  -83.1434, 16998
42.4061,  -83.0484, 16998
42.3613,  -83.117, 16998
42.3485,  -83.2289, 16998
42.3179,  -83.0959, 16998
42.3085,  -83.1346, 16998
42.3511,  -82.9955, 16998
42.3734,  -82.9907, 16998
42.3908,  -82.9962, 16998
42.3954,  -82.9348, 16998
42.4014,  -83.2017, 16998
42.2704,  -83.1601, 16998
42.3645,  -83.2183, 16998
42.4394,  -83.0831, 16998
42.3538,  -83.0675, 7999
42.4259,  -83.2811, 7999
42.4336,  -83.1433, 7999
42.4217,  -83.0036, 7999
42.4406,  -83.1869, 7999
42.4252,  -83.1073, 7999
42.3564,  -83.1241, 7999
42.3581,  -83.2057, 7999
42.373,  -83.1608, 7999
42.3329,  -83.0425, 7999
42.406,  -83.254, 7999
42.4298,  -83.1951, 7999
42.3917,  -83.0844, 7999
42.4107,  -83.2201, 7999
42.3991,  -83.2168, 7999
42.4196,  -83.166, 7999
42.3399,  -83.0812, 7999
42.428,  -83.1629, 7999
42.3433,  -83.1095, 7999
42.4155,  -83.2393, 7999
42.4156,  -83.2112, 7999
42.3507,  -83.2168, 7999
42.4352,  -82.9811, 7999
42.4443,  -83.0287, 7999
42.3942,  -83.1282, 7999
42.4406,  -83.2647, 7999
42.3471,  -83.2325, 7998
42.3402,  -83.0819, 7998
42.449,  -82.9563, 20999
42.3541,  -83.231, 18000
42.4167,  -82.9889, 18000
42.4205,  -82.9874, 18000
42.331,  -83.1371, 18000
42.4157,  -83.2562, 18000
42.4452,  -83.0824, 18000
42.3783,  -82.9629, 18000
